business_name,business_name.1,author_name,author_name.1,text,text_clean,text_norm,dupe_key,dedupe_rank,len_chars,len_words,num_urls,num_emails,num_phones,num_exclaim,num_question,caps_ratio,punct_ratio,num_repeats,flag_ad_promo,flag_offtopic,flag_rant_no_visit,sample_weight,label_human
,Bakso cak Sodiq,,Adem Bouzidi,Why this photo,Why this photo,why this photo,nan||why this photo,1.0,14,3,0,0,0,0,0,0.08333333333333333,0.0,0,0,1,0,1.4,
,Sushi - Bar Tokyo,,Галина Татаринова,Son's birthday,Son's birthday,son's birthday,nan||son's birthday,1.0,14,2,0,0,0,0,0,0.08333333333333333,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,Jan Šejvl,I likes italian brainrot,I likes italian brainrot,i likes italian brainrot,nan||i likes italian brainrot,1.0,24,4,0,0,0,0,0,0.047619047619047616,0.0,0,0,1,0,1.4,
,Sushi - Bar Tokyo,,Никола Третьяков,Thrive,Thrive,thrive,nan||thrive,1.0,6,1,0,0,0,0,0,0.16666666666666666,0.0,0,0,1,0,1.4,
Miss Pizza,,Ilkin Saymaz,,No bad. It was very crowded; there was no lighting outside; so we could look at the menu with phone flashlights.,No bad. It was very crowded; there was no lighting outside; so we could look at the menu with phone flashlights.,no bad. it was very crowded; there was no lighting outside; so we could look at the menu with phone flashlights.,miss pizza||no bad. it was very crowded; there was no lighting outside; so we could look at the menu with phone flashlights.,1.0,112,21,0,0,0,0,0,0.022727272727272728,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,傅垣幀,雖然我不曾前往此處，但是我很樂意成為這個評論區的第一則中文評論,"雖然我不曾前往此處,但是我很樂意成為這個評論區的第一則中文評論","雖然我不曾前往此處,但是我很樂意成為這個評論區的第一則中文評論","nan||雖然我不曾前往此處,但是我很樂意成為這個評論區的第一則中文評論",1.0,31,1,0,0,0,0,0,0.0,0.0,0,0,1,0,1.4,
,Sushi - Bar Tokyo,,mokopar,norm,norm,norm,nan||norm,1.0,4,1,0,0,0,0,0,0.0,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,Thless XZ,mess up sir,mess up sir,mess up sir,nan||mess up sir,1.0,11,3,0,0,0,0,0,0.0,0.0,0,0,1,0,1.4,
,Sever,,Ezra Horowitz,meddl,meddl,meddl,nan||meddl,1.0,5,1,0,0,0,0,0,0.0,0.0,0,0,1,0,1.4,
,Sever,,Maks_haki,No Ron,No Ron,no ron,nan||no ron,1.0,6,2,0,0,0,0,0,0.4,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,Глеб,Avenue Seret,Avenue Seret,avenue seret,nan||avenue seret,1.0,12,2,0,0,0,0,0,0.18181818181818182,0.0,0,0,1,0,1.4,
,Sever,,Aaron Neal,I like polar bear,I like polar bear,i like polar bear,nan||i like polar bear,1.0,17,4,0,0,0,0,0,0.07142857142857142,0.0,0,0,1,0,1.4,
,Gora Yastreb,,Hashem Almajali,Heck,Heck,heck,nan||heck,1.0,4,1,0,0,0,0,0,0.25,0.0,0,0,1,0,1.4,
,Gora Yastreb,,JMP S,Do you deliver?,Do you deliver?,do you deliver?,nan||do you deliver?,1.0,15,3,0,0,0,0,1,0.08333333333333333,0.06666666666666667,0,0,1,0,1.4,
,Bakso cak Sodiq,,ʙᴇɴʏ ғʟᴀᴠᴀ ʏᴛ,Busett has meatballs,Busett has meatballs,busett has meatballs,nan||busett has meatballs,1.0,20,3,0,0,0,0,0,0.05555555555555555,0.0,0,0,1,0,1.4,
,Sever,,Jacob,yeh,yeh,yeh,nan||yeh,1.0,3,1,0,0,0,0,0,0.0,0.0,0,0,1,0,1.4,
,Sever,,Алюминевый огурец,where am I,where am I,where am i,nan||where am i,1.0,10,3,0,0,0,0,0,0.125,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,Jenny A,Found my date here,Found my date here,found my date here,nan||found my date here,1.0,18,4,0,0,0,0,0,0.06666666666666667,0.0,0,0,1,0,1.4,
,Gora Yastreb,,Таежный Медведь,Just a blast!!!,Just a blast!!!,just a blast!!!,nan||just a blast!!!,1.0,15,3,0,0,0,3,0,0.1,0.2,0,0,1,0,1.4,
Asucan Restaurant,,Kjiong Son,,Place was not clear.,Place was not clear.,place was not clear.,asucan restaurant||place was not clear.,1.0,20,4,0,0,0,0,0,0.0625,0.0,0,0,1,0,1.4,
,Bakso cak Sodiq,,mursid pangestu,Bakso Solo Mas Slamet,Bakso Solo Mas Slamet,bakso solo mas slamet,nan||bakso solo mas slamet,1.0,21,4,0,0,0,0,0,0.2222222222222222,0.0,0,0,1,0,1.4,
,Sever,,Василий Бурцев,Scary place,Scary place,scary place,nan||scary place,1.0,11,2,0,0,0,0,0,0.1,0.0,0,0,1,0,1.4,
